Fund Holdings as of,"27/Aug/2020"
 
Issuer Ticker,Name,Asset Class,Weight (%),Price,Nominal,Market Value,Notional Value,Sector,ISIN,Exchange,Location,Market Currency
"IDXX","IDEXX LABORATORIES INC","Equity","0.11","386.28","118,000.00","45,581,040.00","45,581,040.00","Health Care","US45168D1046","NASDAQ","United States","USD"
"CMG","CHIPOTLE MEXICAN GRILL INC","Equity","0.11","1,279.63","35,617.00","45,576,581.71","45,576,581.71","Consumer Discretionary","US1696561059","New York Stock Exchange Inc.","United States","USD"
"SNPS","SYNOPSYS INC","Equity","0.11","217.17","208,459.00","45,271,041.03","45,271,041.03","Information Technology","US8716071076","NASDAQ","United States","USD"
"ROST","ROSS STORES INC","Equity","0.11","90.86","491,364.00","44,645,333.04","44,645,333.04","Consumer Discretionary","US7782961038","NASDAQ","United States","USD"
"INFO","IHS MARKIT LTD","Equity","0.11","80.24","553,840.00","44,440,121.60","44,440,121.60","Industrials","BMG475671050","New York Stock Exchange Inc.","United States","USD"
"APH","AMPHENOL CORP CLASS A","Equity","0.11","108.10","409,965.00","44,317,216.50","44,317,216.50","Information Technology","US0320951017","New York Stock Exchange Inc.","United States","USD"
"PSA","PUBLIC STORAGE REIT","Equity","0.11","211.27","207,912.00","43,925,568.24","43,925,568.24","Real Estate","US74460D1090","New York Stock Exchange Inc.","United States","USD"
"KLAC","KLA CORP","Equity","0.11","204.45","214,381.00","43,830,195.45","43,830,195.45","Information Technology","US4824801009","NASDAQ","United States","USD"
"TWTR","TWITTER INC","Equity","0.11","40.39","1,085,094.00","43,826,946.66","43,826,946.66","Communication","US90184L1026","New York Stock Exchange Inc.","United States","USD"
"COF","CAPITAL ONE FINANCIAL CORP","Equity","0.11","69.61","629,544.00","43,822,557.84","43,822,557.84","Financials","US14040H1059","New York Stock Exchange Inc.","United States","USD"
"TEL","TE CONNECTIVITY LTD","Equity","0.11","95.45","459,050.00","43,816,322.50","43,816,322.50","Information Technology","CH0102993182","New York Stock Exchange Inc.","United States","USD"
"MSCI","MSCI INC","Equity","0.11","369.89","117,521.00","43,469,842.69","43,469,842.69","Financials","US55354G1004","New York Stock Exchange Inc.","United States","USD"
"TROW","T ROWE PRICE GROUP INC","Equity","0.11","138.14","314,622.00","43,461,883.08","43,461,883.08","Financials","US74144T1088","NASDAQ","United States","USD"
"MNST","MONSTER BEVERAGE CORP","Equity","0.11","83.34","516,966.00","43,083,946.44","43,083,946.44","Consumer Staples","US61174X1090","NASDAQ","United States","USD"
"STZ","CONSTELLATION BRANDS INC CLASS A","Equity","0.11","182.65","233,246.00","42,602,381.90","42,602,381.90","Consumer Staples","US21036P1084","New York Stock Exchange Inc.","United States","USD"
"A","AGILENT TECHNOLOGIES INC","Equity","0.11","99.02","427,827.00","42,363,429.54","42,363,429.54","Health Care","US00846U1016","New York Stock Exchange Inc.","United States","USD"
"CMI","CUMMINS INC","Equity","0.11","207.67","203,948.00","42,353,881.16","42,353,881.16","Industrials","US2310211063","New York Stock Exchange Inc.","United States","USD"
"SYY","SYSCO CORP","Equity","0.11","60.03","703,788.00","42,248,393.64","42,248,393.64","Consumer Staples","US8718291078","New York Stock Exchange Inc.","United States","USD"
"CDNS","CADENCE DESIGN SYSTEMS INC","Equity","0.11","109.36","386,094.00","42,223,239.84","42,223,239.84","Information Technology","US1273871087","NASDAQ","United States","USD"
"VRSK","VERISK ANALYTICS INC","Equity","0.11","186.61","225,487.00","42,078,129.07","42,078,129.07","Industrials","US92345Y1064","NASDAQ","United States","USD"
"JCI","JOHNSON CONTROLS INTERNATIONAL PLC","Equity","0.11","40.90","1,028,675.00","42,072,807.50","42,072,807.50","Industrials","IE00BY7QL619","New York Stock Exchange Inc.","United States","USD"
"MET","METLIFE INC","Equity","0.10","39.07","1,072,741.00","41,911,990.87","41,911,990.87","Financials","US59156R1086","New York Stock Exchange Inc.","United States","USD"
"BK","BANK OF NEW YORK MELLON CORP","Equity","0.10","37.55","1,114,209.00","41,838,547.95","41,838,547.95","Financials","US0640581007","New York Stock Exchange Inc.","United States","USD"
"PCAR","PACCAR INC","Equity","0.10","86.33","479,011.00","41,353,019.63","41,353,019.63","Industrials","US6937181088","NASDAQ","United States","USD"
"TRV","TRAVELERS COMPANIES INC","Equity","0.10","117.18","349,561.00","40,961,557.98","40,961,557.98","Financials","US89417E1091","New York Stock Exchange Inc.","United States","USD"
"ALL","ALLSTATE CORP","Equity","0.10","94.13","434,342.00","40,884,612.46","40,884,612.46","Financials","US0200021014","New York Stock Exchange Inc.","United States","USD"
"WEC","WEC ENERGY GROUP INC","Equity","0.10","92.35","436,248.00","40,287,502.80","40,287,502.80","Utilities","US92939U1060","New York Stock Exchange Inc.","United States","USD"
"WBA","WALGREEN BOOTS ALLIANCE INC","Equity","0.10","39.34","1,023,553.00","40,266,575.02","40,266,575.02","Consumer Staples","US9314271084","NASDAQ","United States","USD"
"ZBH","ZIMMER BIOMET HOLDINGS INC","Equity","0.10","140.53","285,917.00","40,179,916.01","40,179,916.01","Health Care","US98956P1021","New York Stock Exchange Inc.","United States","USD"
"YUM","YUM BRANDS INC","Equity","0.10","95.47","416,119.00","39,726,880.93","39,726,880.93","Consumer Discretionary","US9884981013","New York Stock Exchange Inc.","United States","USD"
"PPG","PPG INDUSTRIES INC","Equity","0.10","120.79","327,223.00","39,525,266.17","39,525,266.17","Materials","US6935061076","New York Stock Exchange Inc.","United States","USD"
"ANSS","ANSYS INC","Equity","0.10","332.34","118,795.00","39,480,330.30","39,480,330.30","Information Technology","US03662Q1058","NASDAQ","United States","USD"
"TT","TRANE TECHNOLOGIES PLC","Equity","0.10","118.92","331,441.00","39,414,963.72","39,414,963.72","Industrials","IE00BK9ZQ967","New York Stock Exchange Inc.","United States","USD"
"ES","EVERSOURCE ENERGY","Equity","0.10","84.28","467,245.00","39,379,408.60","39,379,408.60","Utilities","US30040W1080","New York Stock Exchange Inc.","United States","USD"
"KR","KROGER","Equity","0.10","36.16","1,087,173.00","39,312,175.68","39,312,175.68","Consumer Staples","US5010441013","New York Stock Exchange Inc.","United States","USD"
"IQV","IQVIA HOLDINGS INC","Equity","0.10","158.50","246,094.00","39,005,899.00","39,005,899.00","Health Care","US46266C1053","New York Stock Exchange Inc.","United States","USD"
"AZO","AUTOZONE INC","Equity","0.10","1,195.89","32,291.00","38,616,483.99","38,616,483.99","Consumer Discretionary","US0533321024","New York Stock Exchange Inc.","United States","USD"
"FAST","FASTENAL","Equity","0.10","48.35","792,342.00","38,309,735.70","38,309,735.70","Industrials","US3119001044","NASDAQ","United States","USD"
"CTAS","CINTAS CORP","Equity","0.10","328.78","116,492.00","38,300,239.76","38,300,239.76","Industrials","US1729081059","NASDAQ","United States","USD"
"CLX","CLOROX","Equity","0.10","220.69","173,408.00","38,269,411.52","38,269,411.52","Consumer Staples","US1890541097","New York Stock Exchange Inc.","United States","USD"
"MAR","MARRIOTT INTERNATIONAL INC CLASS A","Equity","0.09","101.79","372,322.00","37,898,656.38","37,898,656.38","Consumer Discretionary","US5719032022","NASDAQ","United States","USD"
"PRU","PRUDENTIAL FINANCIAL INC","Equity","0.09","69.36","546,228.00","37,886,374.08","37,886,374.08","Financials","US7443201022","New York Stock Exchange Inc.","United States","USD"
"KMI","KINDER MORGAN INC","Equity","0.09","13.86","2,694,662.00","37,348,015.32","37,348,015.32","Energy","US49456B1017","New York Stock Exchange Inc.","United States","USD"
"F","FORD MOTOR CO","Equity","0.09","6.91","5,401,931.00","37,327,343.21","37,327,343.21","Consumer Discretionary","US3453708600","New York Stock Exchange Inc.","United States","USD"
"ROK","ROCKWELL AUTOMATION INC","Equity","0.09","232.01","160,158.00","37,158,257.58","37,158,257.58","Industrials","US7739031091","New York Stock Exchange Inc.","United States","USD"
"HPQ","HP INC","Equity","0.09","18.70","1,977,429.00","36,977,922.30","36,977,922.30","Information Technology","US40434L1052","New York Stock Exchange Inc.","United States","USD"
"PH","PARKER-HANNIFIN CORP","Equity","0.09","207.79","177,509.00","36,884,595.11","36,884,595.11","Industrials","US7010941042","New York Stock Exchange Inc.","United States","USD"
"PEG","PUBLIC SERVICE ENTERPRISE GROUP IN","Equity","0.09","52.29","700,560.00","36,632,282.40","36,632,282.40","Utilities","US7445731067","New York Stock Exchange Inc.","United States","USD"
"WLTW","WILLIS TOWERS WATSON PLC","Equity","0.09","205.56","178,037.00","36,597,285.72","36,597,285.72","Financials","IE00BDB6Q211","NASDAQ","United States","USD"
"AFL","AFLAC INC","Equity","0.09","36.88","992,238.00","36,593,737.44","36,593,737.44","Financials","US0010551028","New York Stock Exchange Inc.","United States","USD"
"MCHP","MICROCHIP TECHNOLOGY INC","Equity","0.09","107.41","339,254.00","36,439,272.14","36,439,272.14","Information Technology","US5950171042","NASDAQ","United States","USD"
"PSX","PHILLIPS","Equity","0.09","60.26","603,841.00","36,387,458.66","36,387,458.66","Energy","US7185461040","New York Stock Exchange Inc.","United States","USD"
"EOG","EOG RESOURCES INC","Equity","0.09","44.95","804,922.00","36,181,243.90","36,181,243.90","Energy","US26875P1012","New York Stock Exchange Inc.","United States","USD"
"RMD","RESMED INC","Equity","0.09","180.68","200,011.00","36,137,987.48","36,137,987.48","Health Care","US7611521078","New York Stock Exchange Inc.","United States","USD"
"BLL","BALL CORP","Equity","0.09","79.34","452,627.00","35,911,426.18","35,911,426.18","Materials","US0584981064","New York Stock Exchange Inc.","United States","USD"
"SLB","SCHLUMBERGER NV","Equity","0.09","18.70","1,919,178.00","35,888,628.60","35,888,628.60","Energy","AN8068571086","New York Stock Exchange Inc.","United States","USD"
"MSI","MOTOROLA SOLUTIONS INC","Equity","0.09","151.81","235,626.00","35,770,383.06","35,770,383.06","Information Technology","US6200763075","New York Stock Exchange Inc.","United States","USD"
"OTIS","OTIS WORLDWIDE CORP","Equity","0.09","63.23","563,021.00","35,599,817.83","35,599,817.83","Industrials","US68902V1070","New York Stock Exchange Inc.","United States","USD"
"AIG","AMERICAN INTERNATIONAL GROUP INC","Equity","0.09","29.68","1,193,636.00","35,427,116.48","35,427,116.48","Financials","US0268747849","New York Stock Exchange Inc.","United States","USD"
"AWK","AMERICAN WATER WORKS INC","Equity","0.09","141.37","250,331.00","35,389,293.47","35,389,293.47","Utilities","US0304201033","New York Stock Exchange Inc.","United States","USD"
"WMB","WILLIAMS INC","Equity","0.09","20.96","1,677,754.00","35,165,723.84","35,165,723.84","Energy","US9694571004","New York Stock Exchange Inc.","United States","USD"
"MKC","MCCORMICK & CO NON-VOTING INC","Equity","0.09","205.45","171,008.00","35,133,593.60","35,133,593.60","Consumer Staples","US5797802064","New York Stock Exchange Inc.","United States","USD"
"BBY","BEST BUY INC","Equity","0.09","111.22","315,461.00","35,085,572.42","35,085,572.42","Consumer Discretionary","US0865161014","New York Stock Exchange Inc.","United States","USD"
"XLNX","XILINX INC","Equity","0.09","103.72","336,191.00","34,869,730.52","34,869,730.52","Information Technology","US9839191015","NASDAQ","United States","USD"
"TDG","TRANSDIGM GROUP INC","Equity","0.09","498.32","69,558.00","34,662,142.56","34,662,142.56","Industrials","US8936411003","New York Stock Exchange Inc.","United States","USD"
"MCK","MCKESSON CORP","Equity","0.09","154.26","223,796.00","34,522,770.96","34,522,770.96","Health Care","US58155Q1031","New York Stock Exchange Inc.","United States","USD"
"ADM","ARCHER DANIELS MIDLAND","Equity","0.09","44.72","768,362.00","34,361,148.64","34,361,148.64","Consumer Staples","US0394831020","New York Stock Exchange Inc.","United States","USD"
"HLT","HILTON WORLDWIDE HOLDINGS INC","Equity","0.09","88.80","384,408.00","34,135,430.40","34,135,430.40","Consumer Discretionary","US43300A2033","New York Stock Exchange Inc.","United States","USD"
"CARR","CARRIER GLOBAL CORP","Equity","0.09","30.28","1,126,042.00","34,096,551.76","34,096,551.76","Industrials","US14448C1045","New York Stock Exchange Inc.","United States","USD"
"SWK","STANLEY BLACK & DECKER INC","Equity","0.08","159.48","213,074.00","33,981,041.52","33,981,041.52","Industrials","US8545021011","New York Stock Exchange Inc.","United States","USD"
"GLW","CORNING INC","Equity","0.08","32.13","1,054,831.00","33,891,720.03","33,891,720.03","Information Technology","US2193501051","New York Stock Exchange Inc.","United States","USD"
"PAYX","PAYCHEX INC","Equity","0.08","76.54","441,414.00","33,785,827.56","33,785,827.56","Information Technology","US7043261079","NASDAQ","United States","USD"
"STT","STATE STREET CORP","Equity","0.08","69.25","486,617.00","33,698,227.25","33,698,227.25","Financials","US8574771031","New York Stock Exchange Inc.","United States","USD"
"WELL","WELLTOWER INC","Equity","0.08","57.92","577,394.00","33,442,660.48","33,442,660.48","Real Estate","US95040Q1040","New York Stock Exchange Inc.","United States","USD"
"DHI","D R HORTON INC","Equity","0.08","72.50","460,059.00","33,354,277.50","33,354,277.50","Consumer Discretionary","US23331A1097","New York Stock Exchange Inc.","United States","USD"
"ED","CONSOLIDATED EDISON INC","Equity","0.08","71.07","461,993.00","32,833,842.51","32,833,842.51","Utilities","US2091151041","New York Stock Exchange Inc.","United States","USD"
"CHD","CHURCH AND DWIGHT INC","Equity","0.08","96.10","340,085.00","32,682,168.50","32,682,168.50","Consumer Staples","US1713401024","New York Stock Exchange Inc.","United States","USD"
"ALXN","ALEXION PHARMACEUTICALS INC","Equity","0.08","106.11","305,384.00","32,404,296.24","32,404,296.24","Health Care","US0153511094","NASDAQ","United States","USD"
"SWKS","SKYWORKS SOLUTIONS INC","Equity","0.08","140.10","230,745.00","32,327,374.50","32,327,374.50","Information Technology","US83088M1027","NASDAQ","United States","USD"
"MTD","METTLER TOLEDO INC","Equity","0.08","968.68","33,187.00","32,147,583.16","32,147,583.16","Health Care","US5926881054","New York Stock Exchange Inc.","United States","USD"
"AME","AMETEK INC","Equity","0.08","100.91","317,292.00","32,017,935.72","32,017,935.72","Industrials","US0311001004","New York Stock Exchange Inc.","United States","USD"
"DLTR","DOLLAR TREE INC","Equity","0.08","96.72","328,002.00","31,724,353.44","31,724,353.44","Consumer Discretionary","US2567461080","NASDAQ","United States","USD"
"APTV","APTIV PLC","Equity","0.08","85.34","370,643.00","31,630,673.62","31,630,673.62","Consumer Discretionary","JE00B783TY65","New York Stock Exchange Inc.","United States","USD"
"MPC","MARATHON PETROLEUM CORP","Equity","0.08","34.98","899,203.00","31,454,120.94","31,454,120.94","Energy","US56585A1025","New York Stock Exchange Inc.","United States","USD"
"DTE","DTE ENERGY","Equity","0.08","117.02","266,361.00","31,169,564.22","31,169,564.22","Utilities","US2333311072","New York Stock Exchange Inc.","United States","USD"
"WY","WEYERHAEUSER REIT","Equity","0.08","30.16","1,031,880.00","31,121,500.80","31,121,500.80","Real Estate","US9621661043","New York Stock Exchange Inc.","United States","USD"
"AVB","AVALONBAY COMMUNITIES REIT INC","Equity","0.08","158.45","194,548.00","30,826,130.60","30,826,130.60","Real Estate","US0534841012","New York Stock Exchange Inc.","United States","USD"
"CERN","CERNER CORP","Equity","0.08","73.24","420,863.00","30,824,006.12","30,824,006.12","Health Care","US1567821046","NASDAQ","United States","USD"
"ALGN","ALIGN TECHNOLOGY INC","Equity","0.08","305.64","99,303.00","30,350,968.92","30,350,968.92","Health Care","US0162551016","NASDAQ","United States","USD"
"HSY","HERSHEY FOODS","Equity","0.08","148.70","204,033.00","30,339,707.10","30,339,707.10","Consumer Staples","US4278661081","New York Stock Exchange Inc.","United States","USD"
"CTVA","CORTEVA INC","Equity","0.08","29.29","1,034,855.00","30,310,902.95","30,310,902.95","Materials","US22052L1044","New York Stock Exchange Inc.","United States","USD"
"VLO","VALERO ENERGY CORP","Equity","0.08","53.44","563,494.00","30,113,119.36","30,113,119.36","Energy","US91913Y1001","New York Stock Exchange Inc.","United States","USD"
"KHC","KRAFT HEINZ","Equity","0.07","34.76","861,845.00","29,957,732.20","29,957,732.20","Consumer Staples","US5007541064","NASDAQ","United States","USD"
"FCX","FREEPORT MCMORAN INC","Equity","0.07","14.90","2,008,291.00","29,923,535.90","29,923,535.90","Materials","US35671D8570","New York Stock Exchange Inc.","United States","USD"
"ARE","ALEXANDRIA REAL ESTATE EQUITIES RE","Equity","0.07","170.52","174,514.00","29,758,127.28","29,758,127.28","Real Estate","US0152711091","New York Stock Exchange Inc.","United States","USD"
"O","REALTY INCOME REIT CORP","Equity","0.07","62.50","474,849.00","29,678,062.50","29,678,062.50","Real Estate","US7561091049","New York Stock Exchange Inc.","United States","USD"
"CPRT","COPART INC","Equity","0.07","103.08","285,637.00","29,443,461.96","29,443,461.96","Industrials","US2172041061","NASDAQ","United States","USD"
"PPL","PPL CORP","Equity","0.07","27.65","1,063,073.00","29,393,968.45","29,393,968.45","Utilities","US69351T1060","New York Stock Exchange Inc.","United States","USD"
"VFC","VF CORP","Equity","0.07","66.62","440,983.00","29,378,287.46","29,378,287.46","Consumer Discretionary","US9182041080","New York Stock Exchange Inc.","United States","USD"
"VRSN","VERISIGN INC","Equity","0.07","207.87","140,936.00","29,296,366.32","29,296,366.32","Information Technology","US92343E1029","NASDAQ","United States","USD"
"FTV","FORTIVE CORP","Equity","0.07","70.84","409,852.00","29,033,915.68","29,033,915.68","Industrials","US34959J1088","New York Stock Exchange Inc.","United States","USD"
"LEN","LENNAR A CORP","Equity","0.07","75.80","381,113.00","28,888,365.40","28,888,365.40","Consumer Discretionary","US5260571048","New York Stock Exchange Inc.","United States","USD"
"FLT","FLEETCOR TECHNOLOGIES INC","Equity","0.07","248.00","115,915.00","28,746,920.00","28,746,920.00","Information Technology","US3390411052","New York Stock Exchange Inc.","United States","USD"
"SPG","SIMON PROPERTY GROUP REIT INC","Equity","0.07","67.57","423,934.00","28,645,220.38","28,645,220.38","Real Estate","US8288061091","New York Stock Exchange Inc.","United States","USD"
"LUV","SOUTHWEST AIRLINES","Equity","0.07","37.65","741,776.00","27,927,866.40","27,927,866.40","Industrials","US8447411088","New York Stock Exchange Inc.","United States","USD"
"EFX","EQUIFAX INC","Equity","0.07","166.19","167,812.00","27,888,676.28","27,888,676.28","Industrials","US2944291051","New York Stock Exchange Inc.","United States","USD"
"WST","WEST PHARMACEUTICAL SERVICES INC","Equity","0.07","273.92","101,751.00","27,871,633.92","27,871,633.92","Health Care","US9553061055","New York Stock Exchange Inc.","United States","USD"
"AJG","ARTHUR J GALLAGHER","Equity","0.07","106.00","262,267.00","27,800,302.00","27,800,302.00","Financials","US3635761097","New York Stock Exchange Inc.","United States","USD"
"EQR","EQUITY RESIDENTIAL REIT","Equity","0.07","56.63","483,657.00","27,389,495.91","27,389,495.91","Real Estate","US29476L1070","New York Stock Exchange Inc.","United States","USD"
"FRC","FIRST REPUBLIC BANK","Equity","0.07","114.84","237,081.00","27,226,382.04","27,226,382.04","Financials","US33616C1009","New York Stock Exchange Inc.","United States","USD"
"TTWO","TAKE TWO INTERACTIVE SOFTWARE INC","Equity","0.07","172.67","157,605.00","27,213,655.35","27,213,655.35","Communication","US8740541094","NASDAQ","United States","USD"
"EIX","EDISON INTERNATIONAL","Equity","0.07","51.75","522,728.00","27,051,174.00","27,051,174.00","Utilities","US2810201077","New York Stock Exchange Inc.","United States","USD"
"RSG","REPUBLIC SERVICES INC","Equity","0.07","92.68","291,152.00","26,983,967.36","26,983,967.36","Industrials","US7607591002","New York Stock Exchange Inc.","United States","USD"
"AEE","AMEREN CORP","Equity","0.07","78.93","341,350.00","26,942,755.50","26,942,755.50","Utilities","US0236081024","New York Stock Exchange Inc.","United States","USD"
"ETR","ENTERGY CORP","Equity","0.07","97.26","276,734.00","26,915,148.84","26,915,148.84","Utilities","US29364G1031","New York Stock Exchange Inc.","United States","USD"
"AMP","AMERIPRISE FINANCE INC","Equity","0.07","159.10","169,160.00","26,913,356.00","26,913,356.00","Financials","US03076C1062","New York Stock Exchange Inc.","United States","USD"
"ODFL","OLD DOMINION FREIGHT LINE INC","Equity","0.07","199.07","131,395.00","26,156,802.65","26,156,802.65","Industrials","US6795801009","NASDAQ","United States","USD"
"CAG","CONAGRA BRANDS INC","Equity","0.07","38.77","673,658.00","26,117,720.66","26,117,720.66","Consumer Staples","US2058871029","New York Stock Exchange Inc.","United States","USD"
"TSN","TYSON FOODS INC CLASS A","Equity","0.07","63.96","407,893.00","26,088,836.28","26,088,836.28","Consumer Staples","US9024941034","New York Stock Exchange Inc.","United States","USD"
"MKTX","MARKETAXESS HOLDINGS INC","Equity","0.07","496.20","52,532.00","26,066,378.40","26,066,378.40","Financials","US57060D1081","NASDAQ","United States","USD"
"MXIM","MAXIM INTEGRATED PRODUCTS INC","Equity","0.06","70.04","371,488.00","26,019,019.52","26,019,019.52","Information Technology","US57772K1016","NASDAQ","United States","USD"
"AKAM","AKAMAI TECHNOLOGIES INC","Equity","0.06","114.06","224,438.00","25,599,398.28","25,599,398.28","Information Technology","US00971T1016","NASDAQ","United States","USD"
"KEYS","KEYSIGHT TECHNOLOGIES INC","Equity","0.06","95.61","259,258.00","24,787,657.38","24,787,657.38","Information Technology","US49338L1035","New York Stock Exchange Inc.","United States","USD"
"FTNT","FORTINET INC","Equity","0.06","132.07","185,473.00","24,495,419.11","24,495,419.11","Information Technology","US34959E1091","NASDAQ","United States","USD"
"LYB","LYONDELLBASELL INDUSTRIES NV CLASS","Equity","0.06","68.92","355,269.00","24,485,139.48","24,485,139.48","Materials","NL0009434992","New York Stock Exchange Inc.","United States","USD"
"TFX","TELEFLEX INC","Equity","0.06","380.28","64,211.00","24,418,159.08","24,418,159.08","Health Care","US8793691069","New York Stock Exchange Inc.","United States","USD"
"K","KELLOGG","Equity","0.06","70.46","345,853.00","24,368,802.38","24,368,802.38","Consumer Staples","US4878361082","New York Stock Exchange Inc.","United States","USD"
"DAL","DELTA AIR LINES INC","Equity","0.06","30.82","789,773.00","24,340,803.86","24,340,803.86","Industrials","US2473617023","New York Stock Exchange Inc.","United States","USD"
"NTRS","NORTHERN TRUST CORP","Equity","0.06","84.28","288,630.00","24,325,736.40","24,325,736.40","Financials","US6658591044","NASDAQ","United States","USD"
"TSCO","TRACTOR SUPPLY","Equity","0.06","151.02","160,459.00","24,232,518.18","24,232,518.18","Consumer Discretionary","US8923561067","NASDAQ","United States","USD"
"PXD","PIONEER NATURAL RESOURCE","Equity","0.06","105.38","229,212.00","24,154,360.56","24,154,360.56","Energy","US7237871071","New York Stock Exchange Inc.","United States","USD"
"AMCR","AMCOR PLC","Equity","0.06","11.07","2,177,292.00","24,102,622.44","24,102,622.44","Materials","JE00BJ1F3079","New York Stock Exchange Inc.","United States","USD"
"KMX","CARMAX INC","Equity","0.06","106.54","225,850.00","24,062,059.00","24,062,059.00","Consumer Discretionary","US1431301027","New York Stock Exchange Inc.","United States","USD"
"KSU","KANSAS CITY SOUTHERN","Equity","0.06","182.44","131,359.00","23,965,135.96","23,965,135.96","Industrials","US4851703029","New York Stock Exchange Inc.","United States","USD"
"CMS","CMS ENERGY CORP","Equity","0.06","59.72","395,737.00","23,633,413.64","23,633,413.64","Utilities","US1258961002","New York Stock Exchange Inc.","United States","USD"
"INCY","INCYTE CORP","Equity","0.06","94.30","249,439.00","23,522,097.70","23,522,097.70","Health Care","US45337C1027","NASDAQ","United States","USD"
"LH","LABORATORY CORPORATION OF AMERICA","Equity","0.06","174.26","134,679.00","23,469,162.54","23,469,162.54","Health Care","US50540R4092","New York Stock Exchange Inc.","United States","USD"
"LVS","LAS VEGAS SANDS CORP","Equity","0.06","50.53","463,701.00","23,430,811.53","23,430,811.53","Consumer Discretionary","US5178341070","New York Stock Exchange Inc.","United States","USD"
"DFS","DISCOVER FINANCIAL SERVICES","Equity","0.06","53.71","425,038.00","22,828,790.98","22,828,790.98","Financials","US2547091080","New York Stock Exchange Inc.","United States","USD"
"CTXS","CITRIX SYSTEMS INC","Equity","0.06","142.24","160,470.00","22,825,252.80","22,825,252.80","Information Technology","US1773761002","NASDAQ","United States","USD"
"VMC","VULCAN MATERIALS","Equity","0.06","124.06","183,128.00","22,718,859.68","22,718,859.68","Materials","US9291601097","New York Stock Exchange Inc.","United States","USD"
"CDW","CDW CORP","Equity","0.06","114.84","197,145.00","22,640,131.80","22,640,131.80","Information Technology","US12514G1085","NASDAQ","United States","USD"
"DPZ","DOMINOS PIZZA INC","Equity","0.06","416.32","54,071.00","22,510,838.72","22,510,838.72","Consumer Discretionary","US25754A2015","New York Stock Exchange Inc.","United States","USD"
"DOV","DOVER CORP","Equity","0.06","111.52","199,219.00","22,216,902.88","22,216,902.88","Industrials","US2600031080","New York Stock Exchange Inc.","United States","USD"
"BR","BROADRIDGE FINANCIAL SOLUTIONS INC","Equity","0.06","138.81","159,079.00","22,081,755.99","22,081,755.99","Information Technology","US11133T1034","New York Stock Exchange Inc.","United States","USD"
"HOLX","HOLOGIC INC","Equity","0.05","61.54","357,070.00","21,974,087.80","21,974,087.80","Health Care","US4364401012","NASDAQ","United States","USD"
"CBRE","CBRE GROUP INC CLASS A","Equity","0.05","47.35","463,581.00","21,950,560.35","21,950,560.35","Real Estate","US12504L1098","New York Stock Exchange Inc.","United States","USD"
"VAR","VARIAN MEDICAL SYSTEMS INC","Equity","0.05","172.15","126,195.00","21,724,469.25","21,724,469.25","Health Care","US92220P1057","New York Stock Exchange Inc.","United States","USD"
"GWW","WW GRAINGER INC","Equity","0.05","362.47","59,902.00","21,712,677.94","21,712,677.94","Industrials","US3848021040","New York Stock Exchange Inc.","United States","USD"
"VTR","VENTAS REIT INC","Equity","0.05","41.70","516,906.00","21,554,980.20","21,554,980.20","Real Estate","US92276F1003","New York Stock Exchange Inc.","United States","USD"
"MAS","MASCO CORP","Equity","0.05","58.40","364,710.00","21,299,064.00","21,299,064.00","Industrials","US5745991068","New York Stock Exchange Inc.","United States","USD"
"COO","COOPER INC","Equity","0.05","312.43","67,984.00","21,240,241.12","21,240,241.12","Health Care","US2166484020","New York Stock Exchange Inc.","United States","USD"
"VIAC","VIACOMCBS INC CLASS B","Equity","0.05","28.27","748,990.00","21,173,947.30","21,173,947.30","Communication","US92556H2067","NASDAQ","United States","USD"
"FE","FIRSTENERGY CORP","Equity","0.05","28.10","749,201.00","21,052,548.10","21,052,548.10","Utilities","US3379321074","New York Stock Exchange Inc.","United States","USD"
"NDAQ","NASDAQ INC","Equity","0.05","131.85","159,125.00","20,980,631.25","20,980,631.25","Financials","US6311031081","NASDAQ","United States","USD"
"PEAK","HEALTHPEAK PROPERTIES INC","Equity","0.05","28.05","744,404.00","20,880,532.20","20,880,532.20","Real Estate","US42250P1030","New York Stock Exchange Inc.","United States","USD"
"FITB","FIFTH THIRD BANCORP","Equity","0.05","20.94","986,377.00","20,654,734.38","20,654,734.38","Financials","US3167731005","NASDAQ","United States","USD"
"GRMN","GARMIN LTD","Equity","0.05","102.57","201,142.00","20,631,134.94","20,631,134.94","Consumer Discretionary","CH0114405324","NASDAQ","United States","USD"
"ZBRA","ZEBRA TECHNOLOGIES CORP CLASS A","Equity","0.05","277.26","74,005.00","20,518,626.30","20,518,626.30","Information Technology","US9892071054","NASDAQ","United States","USD"
"CAH","CARDINAL HEALTH INC","Equity","0.05","50.67","404,554.00","20,498,751.18","20,498,751.18","Health Care","US14149Y1082","New York Stock Exchange Inc.","United States","USD"
"HIG","HARTFORD FINANCIAL SERVICES GROUP","Equity","0.05","41.49","493,993.00","20,495,769.57","20,495,769.57","Financials","US4165151048","New York Stock Exchange Inc.","United States","USD"
"DGX","QUEST DIAGNOSTICS INC","Equity","0.05","110.01","184,963.00","20,347,779.63","20,347,779.63","Health Care","US74834L1008","New York Stock Exchange Inc.","United States","USD"
"QRVO","QORVO INC","Equity","0.05","127.14","159,468.00","20,274,761.52","20,274,761.52","Information Technology","US74736K1016","NASDAQ","United States","USD"
"XYL","XYLEM INC","Equity","0.05","81.21","249,665.00","20,275,294.65","20,275,294.65","Industrials","US98419M1009","New York Stock Exchange Inc.","United States","USD"
